symbol,first_alert_date,num_alerts,converted_to_trade,trade_date
AMZN,2023-12-11,4,True,2023-12-15
AMZN,2024-06-10,2,False,
AMZN,2024-06-21,1,False,
AMZN,2024-07-17,3,False,
AMZN,2024-11-01,3,True,2024-11-06
GOOGL,2021-12-07,5,False,
GOOGL,2023-08-16,3,False,
AAPL,2024-09-30,1,False,
AAPL,2024-10-14,13,False,
AAPL,2024-11-22,4,False,
META,2023-10-09,6,False,
META,2023-11-07,3,False,
META,2023-12-01,5,False,
META,2024-04-08,5,False,
META,2024-06-12,1,False,
META,2024-06-25,3,True,2024-07-05
META,2024-08-09,14,False,
NVDA,2023-12-18,7,True,2024-01-08
NVDA,2024-12-17,3,False,
AMD,2022-01-31,1,True,2022-02-01
AVGO,2023-01-30,2,False,
AVGO,2023-02-21,5,True,2023-02-28
AVGO,2023-08-30,1,True,2023-08-31
AVGO,2023-10-12,3,False,
AVGO,2023-11-07,3,False,
AVGO,2024-05-16,12,False,
AVGO,2024-08-05,1,False,
QCOM,2023-07-27,1,True,2023-07-28
QCOM,2023-12-05,2,False,
MU,2023-03-29,7,False,
MU,2023-06-29,7,False,
MU,2023-08-16,7,False,
MU,2024-06-07,1,False,
LRCX,2023-11-02,3,False,
LRCX,2024-04-11,1,False,
LRCX,2024-06-11,1,True,2024-06-12
LRCX,2024-07-22,1,False,
AMAT,2023-03-20,5,False,
AMAT,2023-05-23,2,True,2023-05-25
AMAT,2024-04-16,1,False,
KLAC,2023-11-08,2,True,2023-11-10
KLAC,2024-10-14,1,False,
CRM,2021-12-01,1,True,2021-12-02
CRM,2023-05-05,2,False,
ADBE,2021-11-30,2,False,
ADBE,2021-12-13,1,False,
ADBE,2023-05-25,1,True,2023-05-26
ORCL,2023-09-05,5,False,
INTU,2023-03-23,4,False,
INTU,2023-04-12,1,False,
INTU,2023-05-18,4,False,
INTU,2023-06-06,2,False,
INTU,2024-05-15,5,False,
PANW,2022-03-04,1,False,
PANW,2022-03-17,1,False,
PANW,2023-04-05,9,False,
PANW,2023-05-08,6,True,2023-05-24
PANW,2023-10-09,2,False,
PANW,2023-10-19,2,False,
PANW,2023-11-10,3,True,2023-11-20
PANW,2024-11-22,1,False,
PANW,2024-12-18,4,False,
ZS,2023-07-31,2,False,
ZS,2023-09-05,6,False,
ZS,2023-10-02,1,False,
ZS,2023-10-20,4,True,2023-11-03
JPM,2023-03-01,4,False,
JPM,2023-04-17,7,False,
JPM,2023-05-18,2,False,
V,2023-05-11,6,False,
MA,2023-01-04,2,True,2023-01-06
BAC,2024-02-29,1,False,
BAC,2024-04-16,1,False,
GS,2024-03-19,2,True,2024-03-21
GS,2024-10-09,2,True,2024-10-11
MS,2024-01-23,25,True,2024-03-04
AXP,2023-04-25,3,False,
AXP,2023-05-30,1,False,
LLY,2022-08-04,4,False,
LLY,2022-08-29,10,False,
LLY,2022-09-30,3,False,
LLY,2024-01-19,2,False,
PFE,2022-07-07,1,False,
PFE,2023-01-06,1,False,
MRK,2023-04-05,8,False,
MRK,2023-05-18,1,False,
MRK,2024-05-13,9,False,
MRK,2024-06-05,1,False,
MRK,2024-06-27,1,False,
MRK,2024-07-11,1,False,
TMO,2024-05-14,7,False,
DHR,2021-12-27,4,False,
DHR,2024-01-23,3,True,2024-01-30
DHR,2024-05-09,3,True,2024-05-16
NKE,2023-05-01,2,False,
SBUX,2023-02-09,1,False,
SBUX,2023-04-04,8,False,
SBUX,2023-05-03,9,False,
SBUX,2024-11-15,3,False,
SBUX,2024-12-10,4,False,
COST,2022-03-17,8,False,
COST,2024-05-07,5,False,
CAT,2023-12-14,11,False,
GE,2022-12-15,2,False,
GE,2024-08-08,9,False,
GE,2024-09-04,4,True,2024-09-13
UNP,2022-04-06,11,False,
UPS,2023-02-02,1,False,
UPS,2023-03-02,12,False,
LMT,2023-04-03,9,True,2023-04-18
XOM,2022-07-19,4,False,
XOM,2022-08-05,2,False,
XOM,2022-10-06,4,False,
XOM,2023-01-30,1,True,2023-01-31
XOM,2024-08-15,2,False,
RTX,2023-04-12,8,False,
COP,2022-05-19,2,False,
COP,2022-08-18,3,False,
COP,2023-11-30,3,True,2023-12-11
CVX,2022-05-17,3,False,
CVX,2023-01-26,1,False,
SLB,2021-12-14,8,False,
SLB,2022-04-08,6,False,
SLB,2022-05-25,2,False,
SLB,2023-01-24,3,False,
SLB,2023-02-27,5,False,
EOG,2022-04-11,7,False,
EOG,2022-05-03,2,True,2022-05-06
EOG,2022-06-16,1,False,
EOG,2022-08-18,2,False,
EOG,2023-02-06,3,False,
EOG,2023-10-17,3,False,
NFLX,2023-03-02,8,True,2023-03-23
NFLX,2023-05-18,1,False,
PYPL,2024-04-15,5,False,
PYPL,2024-05-08,8,False,
SHOP,2021-11-29,1,False,
SHOP,2023-04-14,1,False,
SHOP,2023-04-25,5,True,2023-05-04
SHOP,2023-08-31,4,False,
UBER,2023-03-13,1,False,
UBER,2024-10-02,2,False,
COIN,2024-07-19,2,False,
ABNB,2022-01-03,1,False,
ABNB,2022-02-10,1,True,2022-02-15
ABNB,2024-01-26,5,True,2024-02-12
ABNB,2024-05-09,10,False,
