symbol,pattern,entry_date,entry_price,stop_loss,target_price,exit_date,exit_price,exit_reason,pnl_pct,days_held,max_gain_pct,max_drawdown_pct,rs_rating,volume_ratio,num_contractions,proximity_score,contraction_quality,volume_quality,final_contraction_pct,risk_pct,reward_pct,theoretical_rr,realized_rr
META,VCP,2025-01-24,645.9810791015625,600.762403564453,0,2025-02-03,673.6768475112623,trailing_stop,4.287396226561211,6,9.776206554274964,3.4579701804841227,88.96361724195827,1.5373828535118546,2,97.5,100,95.0,7.3995460966140385,7.0,9.776206554274964,,0.6124851752230301
AVGO,VCP,2024-12-11,181.420654296875,168.72120849609374,0,2024-12-13,215.15480105762424,trailing_stop,18.59443561786907,2,24.83624801880955,3.9355911805150576,83.30157870534266,2.0928578726551184,3,100.0,100,100.0,8.715316146476331,7.0,24.83624801880955,,2.656347945409867
CSCO,VCP,2025-06-23,66.57522583007812,61.914960021972654,0,2025-08-14,68.50882760897522,trailing_stop,2.904386361125213,37,8.320406695921275,0.6826705086080389,90.03476950623305,1.6624974766971887,3,100.0,100,100.0,3.8985465083346558,7.0,8.320406695921275,,0.41491233730360183
MCD,VCP,2025-03-07,317.6745300292969,295.43731292724607,0,2025-03-12,295.43731292724607,stop,-7.000000000000008,3,1.5655662969988118,7.762455212364573,81.38084773921162,2.3687984690430213,2,100.0,100,100.0,3.6243448161053946,7.0,1.5655662969988118,,-1.000000000000001
CRM,VCP,2025-01-28,358.19256591796875,333.1190863037109,0,2025-02-03,333.1190863037109,stop,-7.000000000000011,4,0.06390156044938805,7.97054665929476,86.19950842496823,1.8171067823755074,2,90.0,100,80.0,7.477237618867264,7.0,0.06390156044938805,,-1.0000000000000016
VZ,VCP,2025-03-21,41.885711669921875,38.95371185302734,0,2025-04-09,38.95371185302734,stop,-7.000000000000001,13,5.001128416427601,7.069788300931029,81.4519308159599,2.674505887230417,2,90.0,100,80.0,4.4189101224538465,7.0,5.001128416427601,,-1.0000000000000002
WFC,VCP,2025-02-28,77.0327377319336,71.64044609069823,0,2025-03-04,71.64044609069823,stop,-7.000000000000011,2,0.8427009407043538,8.912174320498478,87.81266584335387,1.5967121904749098,2,97.5,100,95.0,5.638891428000022,7.0,0.8427009407043538,,-1.0000000000000016
IBM,VCP,2025-01-30,251.76499938964844,234.14144943237304,0,2025-03-20,234.14144943237304,stop,-7.0000000000000036,34,3.854561844501339,7.538461477982061,90.42112318983153,3.672928179961757,2,100.0,100,100.0,5.358703913121285,7.0,3.854561844501339,,-1.0000000000000004
DE,VCP,2025-06-27,509.9391174316406,474.24337921142575,0,2025-08-14,474.24337921142575,stop,-7.000000000000006,33,3.372928240767186,8.055184300138515,82.33422349247536,1.5432488014703534,3,100.0,100,100.0,4.415929589688606,7.0,3.372928240767186,,-1.0000000000000009
MMM,VCP,2025-01-17,138.4167022705078,128.72753311157226,0,2025-02-21,144.52144198266413,trailing_stop,4.41040684542955,23,9.905691416241632,0.0,90.13257953382181,1.7856552414260787,2,100.0,100,100.0,6.573793952581348,7.0,9.905691416241632,,0.63005812077565
GILD,VCP,2025-02-03,96.33654022216797,89.5929824066162,0,2025-03-11,111.59489306418976,trailing_stop,15.838593338346502,25,21.935361408785795,3.8828969203014694,84.51986665221375,1.562688544742206,2,97.5,100,95.0,5.284448153785326,7.0,21.935361408785795,,2.2626561911923573
GILD,VCP,2025-08-08,118.58648681640625,110.2854327392578,0,2025-09-16,110.2854327392578,stop,-7.000000000000011,26,2.0266254196384197,7.1142045919520145,90.17405313566518,1.7677855511536777,3,100.0,100,100.0,6.607888950489456,7.0,2.0266254196384197,,-1.0000000000000016
DUK,VCP,2025-03-14,117.00010681152344,108.8100993347168,0,2025-05-14,108.8100993347168,stop,-7.000000000000001,42,4.287372806906347,7.409254404434754,87.04441212229288,1.5781243263142883,2,90.0,100,80.0,4.731480103737382,7.0,4.287372806906347,,-1.0000000000000002
